latitude,longitude,trigger,landslide_size,date,precipitation_mm,soil_moisture,slope_degrees,landslide_occurred
21.902884321817055,91.56091376735839,downpour,small,2018-11-30,30.021274368252698,0.5123985532760414,27.359862224533128,1
22.274817794370136,94.80504806484042,continuous_rain,medium,2011-09-26,120.27738016709391,0.5414310109521618,66.56108626210651,1
29.15430556263673,92.25826942144012,downpour,very_large,2023-07-22,141.89974289822428,0.5582496559557704,39.443667317987575,1
22.63147295864597,97.64357107025651,none,none,2013-04-14,9.463295931221397,0.0033546522734158924,12.23126944922997,0
22.922737094240244,90.56027335412917,none,none,2016-10-30,8.342737661109915,0.11402037215023825,11.966813674307016,0
,95.2671042781272,continuous_rain,large,2011-08-25,135.12685196201485,0.5307790523553442,33.48656627405052,1
22.69229880918089,92.44715838313107,unknown,large,2012-07-04,0.8513485652804553,0.37395235392644033,45.62039938969298,1
24.640346350855996,89.5495977994213,downpour,small,2021-01-27,93.98181242686096,0.7312665159527374,49.046071699289946,1
22.74382237542411,97.661280258289,none,none,2015-09-15,10.300939399640011,0.2602767901204363,27.56073220891981,0
22.869235276183307,89.90218612637983,none,none,2013-09-23,11.435480809646597,0.39761009378897794,13.946284603800047,0
22.543280130843637,89.21036739500488,none,none,2010-07-15,11.551149227802068,0.28539266732550855,0.04694637669326984,0
21.824580382490687,92.1653277010088,none,none,2010-02-16,0.1540210369464795,0.17769921326048804,15.82748056421362,0
28.5625337835365,89.28766535047247,none,none,2017-01-05,7.598708442377279,0.30827798368807713,16.367015960977405,0
24.36129755704332,91.07276488266103,none,none,2012-02-11,6.569553857771787,0.014715863931684359,5.620423167220942,0
28.390850693616418,91.46962995927274,none,none,2012-03-01,1.0000827530631033,0.2407712161233278,17.110418414986984,0
21.578790359666485,95.25824263878287,continuous_rain,medium,2022-08-20,51.55841226493078,0.6602969436985532,64.10660212341968,1
22.002606327429678,95.17362806080489,none,none,2016-01-02,11.584734718563274,0.35488453719836904,11.407496092970572,0
21.42077663033641,91.9082366138794,none,none,2015-03-31,12.85094303748337,0.013614660278628855,7.76600522052454,0
29.67240144228049,97.01573273616502,downpour,small,2015-02-06,197.63111850226105,0.7253465941260725,53.82428191420972,1
25.761152666106202,89.02365700125934,none,none,2013-10-10,4.776376003913507,0.27982658912966246,27.086400153301245,0
